run,field,first,peak_abs,last,min,max,mean
da62_test-1,span,311.45,6205.95,6205.95,311.45,6205.95,3280.434090909091
da62_test-2,span,311.45,6205.95,6205.95,311.45,6205.95,3280.434090909091
da62_test-3,span,311.45,6205.95,6205.95,311.45,6205.95,3280.434090909091
da62_test-4,span,311.45,6205.95,6205.95,311.45,6205.95,3280.434090909091
da62_test-5,span,311.45,6205.95,6205.95,311.45,6205.95,3280.434090909091
da62_test-6,span,311.45,6205.95,6205.95,311.45,6205.95,3280.434090909091
da62_test-single-nooffset-2,span,311.45,6205.95,6205.95,311.45,6205.95,3280.434090909091
da62_test-1,local.N,67.3708670349065,135.77693778262824,5.656667388946516,5.656667388946516,135.77693778262824,56.62534897039247
da62_test-2,local.N,82.29502399849343,139.7887605024698,3.918324061058229,3.918324061058229,139.7887605024698,50.35315432804619
da62_test-3,local.N,102.97211054674722,154.37089379168174,5.112257351371227,5.112257351371227,154.37089379168174,56.99879490910819
da62_test-4,local.N,102.97211054674722,154.37089379168174,5.112257351371227,5.112257351371227,154.37089379168174,56.99879490910819
da62_test-5,local.N,55.79029571694127,119.42801228427948,3.565925048693316,3.565925048693316,119.42801228427948,51.209642609735084
da62_test-6,local.N,102.6143001215043,155.4037646722868,5.111733948637266,5.111733948637266,155.4037646722868,57.37057041139794
da62_test-single-nooffset-2,local.N,72.0512846269229,170.6432650216302,5.280546344365575,5.280546344365575,170.6432650216302,63.885911716571734
da62_test-1,local.S1,490.3791512603784,603.398588591509,-3.065590072888881,-525.1227769608377,603.398588591509,-13.590928595174814
da62_test-2,local.S1,488.0963790466776,580.5213177260157,-2.7343193233464262,-522.5756578054716,580.5213177260157,-12.568660790373542
da62_test-3,local.S1,484.15626674626765,565.8872894964261,-2.828905988804763,-527.2541513816686,565.8872894964261,-21.47169004985277
da62_test-4,local.S1,484.15626674626765,565.8872894964261,-2.828905988804763,-527.2541513816686,565.8872894964261,-21.47169004985277
da62_test-5,local.S1,491.8312683795666,555.2802095072757,-2.7018051589257084,-524.2845338465995,555.2802095072757,-18.315144986074674
da62_test-6,local.S1,484.23222896433435,570.9733639699261,-2.8288178561779205,-527.2521976124845,570.9733639699261,-21.015127653782077
da62_test-single-nooffset-2,local.S1,489.7133432968476,600.1639025036784,-2.8251713048666716,-516.900978340942,600.1639025036784,-11.193004674640013
da62_test-1,local.S2,-15711.565899819892,-15711.565899819892,-322.6159202587078,-15711.565899819892,-322.6159202587078,-7115.01129148512
da62_test-2,local.S2,-15711.565900081128,-15711.565900081128,-322.64469308047865,-15711.565900081128,-322.64469308047865,-7115.266697754155
da62_test-3,local.S2,-15711.565900166395,-15711.565900166395,-322.6271684778558,-15711.565900166395,-322.6271684778558,-7115.234918322643
da62_test-4,local.S2,-15711.565900166395,-15711.565900166395,-322.6271684778558,-15711.565900166395,-322.6271684778558,-7115.234918322643
da62_test-5,local.S2,-15711.56589878467,-15711.56589878467,-322.6490541134417,-15711.56589878467,-322.6490541134417,-7115.422223777592
da62_test-6,local.S2,-15711.565900078422,-15711.565900078422,-322.627177565284,-15711.565900078422,-322.627177565284,-7115.19156677901
da62_test-single-nooffset-2,local.S2,-15711.565900029014,-15711.565900029014,-322.62449066722274,-15711.565900029014,-322.62449066722274,-7115.047248817294
da62_test-1,local.T,3701234.713807068,7430089.052517029,169575.08624459011,169575.08624459011,7430089.052517029,3056932.0227899556
da62_test-2,local.T,5797337.942233833,9094272.577893421,172858.59093269802,172858.59093269802,9094272.577893421,3579795.548852083
da62_test-3,local.T,7040765.969918834,10197511.513961297,168952.23448743316,168952.23448743316,10197511.513961297,3617779.361829595
da62_test-4,local.T,7040765.969918834,10197511.513961297,168952.23448743316,168952.23448743316,10197511.513961297,3617779.361829595
da62_test-5,local.T,3200309.18633487,7843867.460879369,174841.50674892357,174841.50674892357,7843867.460879369,3246598.6054998827
da62_test-6,local.T,7120573.34544215,10320579.751273466,169024.22242357561,169024.22242357561,10320579.751273466,3614432.4713796587
da62_test-single-nooffset-2,local.T,2563723.37409308,8057410.9245127905,171204.1313163594,171204.1313163594,8057410.9245127905,3254389.22503143
da62_test-1,local.M1,41694618.26611507,41694618.26611507,32114.73620161251,32114.73620161251,41694618.26611507,13343918.096605735
da62_test-2,local.M1,41848833.19203279,41848833.19203279,34913.8471147042,34913.8471147042,41848833.19203279,13377364.26659754
da62_test-3,local.M1,41517605.99519928,41517605.99519928,18074.831541618798,18074.831541618798,41517605.99519928,13259816.877869217
da62_test-4,local.M1,41517605.99519928,41517605.99519928,18074.831541618798,18074.831541618798,41517605.99519928,13259816.877869217
da62_test-5,local.M1,42702814.93241371,42702814.93241371,63086.52321705478,63086.52321705478,42702814.93241371,13811867.189420344
da62_test-6,local.M1,41409144.32819811,41409144.32819811,18508.545670465915,18508.545670465915,41409144.32819811,13251793.48288961
da62_test-single-nooffset-2,local.M1,41750000.53186824,41750000.53186824,34451.1358334081,34451.1358334081,41750000.53186824,13283619.867281469
